"","grp_code","state","group","emp_rate","unemp_rate"
"864",39,"Montana","Women, 65 years and over",20.3,4.2
"884",26,"Nebraska","Men, 16 to 19 years",49.7,8.5
"885",27,"Nebraska","Men, 20 to 24 years",78.3,7.8
"886",28,"Nebraska","Men, 25 to 34 years",91,4
"887",29,"Nebraska","Men, 35 to 44 years",91.2,3.8
"888",30,"Nebraska","Men, 45 to 54 years",88.5,3.5
"889",31,"Nebraska","Men, 55 to 64 years",81.3,1.4
"890",32,"Nebraska","Men, 65 years and over",33.1,3.8
"891",33,"Nebraska","Women, 16 to 19 years",44.1,12.9
"892",34,"Nebraska","Women, 20 to 24 years",72.9,6.8
"893",35,"Nebraska","Women, 25 to 34 years",76.3,5.4
"894",36,"Nebraska","Women, 35 to 44 years",81.4,2.6
"895",37,"Nebraska","Women, 45 to 54 years",79.7,2.3
"896",38,"Nebraska","Women, 55 to 64 years",69.5,2.9
"897",39,"Nebraska","Women, 65 years and over",21.6,3
"917",26,"Nevada","Men, 16 to 19 years",26.2,28.2
"918",27,"Nevada","Men, 20 to 24 years",71.6,15.1
"919",28,"Nevada","Men, 25 to 34 years",82.6,7.7
"920",29,"Nevada","Men, 35 to 44 years",85.7,6.9
"921",30,"Nevada","Men, 45 to 54 years",76.2,9.7
"922",31,"Nevada","Men, 55 to 64 years",59.9,10.4
"923",32,"Nevada","Men, 65 years and over",20.1,8.8
"924",33,"Nevada","Women, 16 to 19 years",21.7,29.9
"925",34,"Nevada","Women, 20 to 24 years",64.5,11.9
"926",35,"Nevada","Women, 25 to 34 years",66,9
"927",36,"Nevada","Women, 35 to 44 years",68.1,8.6
"928",37,"Nevada","Women, 45 to 54 years",65.4,8.3
"929",38,"Nevada","Women, 55 to 64 years",52.8,7.5
"930",39,"Nevada","Women, 65 years and over",14.3,9.1
"948",26,"New Hampshire","Men, 16 to 19 years",38.5,15.5
"949",27,"New Hampshire","Men, 20 to 24 years",66,13.4
"950",28,"New Hampshire","Men, 25 to 34 years",86.9,4.2
"951",29,"New Hampshire","Men, 35 to 44 years",90.9,3.8
"952",30,"New Hampshire","Men, 45 to 54 years",86.1,5.5
"953",31,"New Hampshire","Men, 55 to 64 years",73.7,4.7
"954",32,"New Hampshire","Men, 65 years and over",27.7,3.7
"955",33,"New Hampshire","Women, 16 to 19 years",44,15.7
"956",34,"New Hampshire","Women, 20 to 24 years",71.8,7.7
